Nombre de nœuds,Temps moyen d'insertion (secondes)
4100,0.001583
4110,0.001635
4120,0.001569
4130,0.001671
4140,0.001618
4150,0.001613
4160,0.001550
4170,0.001647
4180,0.001595
4190,0.001784
4200,0.001510
4210,0.001549
4220,0.001610
4230,0.001673
4240,0.001775
4250,0.001632
4260,0.001653
4270,0.001764
4280,0.001601
4290,0.001634
4300,0.001669
4310,0.001723
4320,0.001807
4330,0.001715
4340,0.001647
4350,0.001657
4360,0.001673
4370,0.001699
4380,0.001811
4390,0.001669
4400,0.001707
4410,0.001696
4420,0.001673
4430,0.001730
4440,0.001700
4450,0.001705
4460,0.001716
4470,0.001730
4480,0.001815
4490,0.001809
4500,0.001792
4510,0.001832
4520,0.001775
4530,0.001716
4540,0.001751
4550,0.001888
4560,0.001796
4570,0.001929
4580,0.002309
4590,0.002135
4600,0.002130
4610,0.001795
4620,0.001854
4630,0.001770
4640,0.001825
4650,0.001801
4660,0.001897
4670,0.001783
4680,0.001952
4690,0.001847
4700,0.001857
4710,0.001802
4720,0.001821
4730,0.001944
4740,0.001811
4750,0.001881
4760,0.001930
4770,0.001939
4780,0.001881
4790,0.001925
4800,0.001878
4810,0.001910
4820,0.001869
4830,0.002103
4840,0.002111
4850,0.001962
4860,0.002001
4870,0.002133
4880,0.001993
4890,0.001974
4900,0.001918
4910,0.001913
4920,0.002112
4930,0.001903
4940,0.001979
4950,0.001904
4960,0.001974
4970,0.001817
4980,0.001877
4990,0.002100
5000,0.001987
5010,0.002063
5020,0.002028
5030,0.002192
5040,0.001982
5050,0.002000
5060,0.001993
5070,0.002019
5080,0.002169
5090,0.001975
5100,0.001946
5110,0.002189
5120,0.001999
5130,0.002012
5140,0.002044
5150,0.002083
5160,0.002243
5170,0.002214
5180,0.002091
5190,0.002015
5200,0.002021
5210,0.002081
5220,0.002444
5230,0.002315
5240,0.002369
5250,0.002080
5260,0.002128
5270,0.002150
5280,0.001958
5290,0.002054
5300,0.002044
5310,0.002074
5320,0.002145
5330,0.002028
5340,0.002090
5350,0.002177
5360,0.002061
5370,0.002070
5380,0.002162
5390,0.002117
5400,0.002124
5410,0.002114
5420,0.002236
5430,0.002143
5440,0.002233
5450,0.002277
5460,0.002178
5470,0.002364
5480,0.002202
5490,0.002136
5500,0.002186
5510,0.002237
5520,0.002169
5530,0.002238
5540,0.002141
5550,0.002229
5560,0.002170
5570,0.002471
5580,0.002216
5590,0.002146
5600,0.002246
5610,0.002417
5620,0.002281
5630,0.002252
5640,0.002291
5650,0.002297
5660,0.002209
5670,0.002337
5680,0.002375
5690,0.002403
5700,0.002242
5710,0.002342
5720,0.002571
5730,0.002243
5740,0.002361
5750,0.002263
5760,0.002267
5770,0.002390
5780,0.002402
5790,0.002326
5800,0.002342
5810,0.002265
5820,0.002425
5830,0.002411
5840,0.002460
5850,0.002346
5860,0.002334
5870,0.002249
5880,0.002356
5890,0.002462
5900,0.002325
5910,0.002417
5920,0.002260
5930,0.002496
5940,0.002349
5950,0.002367
5960,0.002477
5970,0.002349
5980,0.002366
5990,0.002413
6000,0.002702
6010,0.002649
6020,0.002432
6030,0.002469
6040,0.002483
6050,0.002428
6060,0.002490
6070,0.002407
6080,0.002462
6090,0.002602
6100,0.002461
6110,0.002406
6120,0.002637
6130,0.002512
6140,0.002449
6150,0.002673
6160,0.002464
6170,0.002521
6180,0.002573
6190,0.002404
6200,0.002478
6210,0.002577
6220,0.002789
6230,0.002458
6240,0.002611
6250,0.002467
6260,0.002371
6270,0.002569
6280,0.002773
6290,0.002471
6300,0.002561
6310,0.002535
6320,0.002475
6330,0.002672
6340,0.002570
6350,0.002566
6360,0.002446
6370,0.002509
6380,0.002579
6390,0.002807
6400,0.002434
6410,0.002518
6420,0.002492
6430,0.002548
6440,0.002653
6450,0.002514
6460,0.002671
6470,0.002816
6480,0.002477
6490,0.002646
6500,0.002547
6510,0.002534
6520,0.002645
6530,0.002745
6540,0.002748
6550,0.002500
6560,0.002886
6570,0.002963
6580,0.002637
6590,0.002631
6600,0.002916
6610,0.002705
6620,0.002631
6630,0.002655
6640,0.002731
6650,0.002617
6660,0.002742
6670,0.002733
6680,0.002731
6690,0.002919
6700,0.003201
6710,0.003383
6720,0.002883
6730,0.002721
6740,0.002968
6750,0.002765
6760,0.002658
6770,0.002889
6780,0.002685
6790,0.002754
6800,0.002887
6810,0.002882
6820,0.002732
6830,0.002791
6840,0.002874
6850,0.002781
6860,0.002791
6870,0.002917
6880,0.002690
6890,0.002723
6900,0.002959
6910,0.002839
6920,0.002894
6930,0.002944
6940,0.002772
6950,0.002932
6960,0.002766
6970,0.002908
6980,0.003017
6990,0.002758
7000,0.002914
7010,0.002917
7020,0.002745
7030,0.002905
7040,0.002757
7050,0.002914
7060,0.002821
7070,0.002808
7080,0.003060
7090,0.002976
7100,0.002756
7110,0.002948
7120,0.002810
7130,0.002987
7140,0.002892
7150,0.002956
7160,0.002872
7170,0.003176
7180,0.002903
7190,0.002853
7200,0.003360
7210,0.002923
7220,0.002805
7230,0.003059
7240,0.003227
7250,0.002974
7260,0.002991
7270,0.003038
7280,0.003060
7290,0.002997
7300,0.002934
7310,0.002945
7320,0.002987
7330,0.002849
7340,0.002881
7350,0.002926
7360,0.003133
7370,0.003018
7380,0.002879
7390,0.002964
7400,0.003106
7410,0.003033
7420,0.003033
7430,0.003384
7440,0.003288
7450,0.003251
7460,0.003385
7470,0.003056
7480,0.003120
7490,0.003259
7500,0.003336
7510,0.003527
7520,0.003192
7530,0.003467
7540,0.003277
7550,0.003205
7560,0.003174
7570,0.003152
7580,0.003264
7590,0.003176
7600,0.003296
7610,0.003519
7620,0.003231
7630,0.003435
7640,0.003530
7650,0.003453
7660,0.003419
7670,0.003310
7680,0.003253
7690,0.003563
7700,0.003319
7710,0.003578
7720,0.003583
7730,0.004779
7740,0.004017
7750,0.003636
7760,0.003608
7770,0.003421
7780,0.003299
7790,0.003246
7800,0.003277
7810,0.003458
7820,0.003438
7830,0.003306
7840,0.003528
7850,0.003550
7860,0.003323
7870,0.003525
7880,0.003580
