2,1
3,3
4,2
5,2
6,6
7,5
8,0
9,13
10,12
11,10
12,8
13,6
14,19
15,15
16,22
17,25
18,18
19,22
20,27
21,27
22,28
23,22
24,20
25,30
26,30
27,36
28,50
29,36
30,48
31,41
32,46
33,41
34,66
35,45
36,58
37,57
38,60
39,71
40,68
41,52
42,66
43,76
44,47
45,79
46,53
47,75
48,70
49,58
50,75
51,76
52,98
53,83
54,91
55,70
56,71
57,93
58,105
59,105
60,110
61,104
62,89
63,103
64,106
65,101
66,109
67,127
68,88
69,102
70,122
71,112
72,98
73,126
74,105
75,139
76,122
77,116
78,99
79,142
80,128
81,120
82,139
83,143
84,124
85,167
86,146
87,134
88,162
89,118
90,182
91,160
92,168
93,158
94,168
95,178
96,189
97,148
98,132
99,180
100,188
101,163
102,147
103,188
104,171
105,174
106,197
107,196
108,209
109,172
110,195
111,170
112,162
113,221
114,191
115,199
116,215
117,181
118,219
119,249
120,222
121,229
122,219
123,183
124,222
125,219
126,189
127,207
128,244
129,195
130,230
131,222
132,202
133,212
134,272
135,241
136,228
137,273
138,230
139,230
140,241
141,234
142,256
143,255
144,289
145,215
146,265
147,241
148,239
149,287
150,231
151,264
152,263
153,234
154,277
155,301
156,257
157,257
158,237
159,315
160,302
161,266
162,289
163,332
164,323
165,302
166,337
167,327
168,336
169,279
170,315
171,325
172,312
173,302
174,281
175,329
176,294
177,311
178,414
179,284
180,292
181,303
182,309
183,345
184,332
185,327
186,328
187,316
188,358
189,322
190,369
191,325
192,367
193,376
194,365
195,410
196,289
197,329
198,350
199,325
200,419
201,369
202,374
203,395
204,355
205,403
206,433
207,355
208,320
209,385
210,389
211,390
212,428
213,361
214,409
215,410
216,403
217,428
218,430
219,373
220,412
221,319
222,362
223,475
224,370
225,402
226,366
227,391
228,437
229,345
230,354
231,462
232,368
233,386
234,483
235,388
236,424
237,434
238,482
239,414
240,359
241,448
242,412
243,507
244,430
245,415
246,390
247,382
248,457
249,416
250,505
251,432
252,434
253,490
254,450
255,438
256,449
257,445
258,427
259,392
260,386
261,502
262,470
263,539
264,473
265,517
266,531
267,522
268,478
269,474
270,481
271,426
272,536
273,552
274,440
275,521
276,508
277,457
278,550
279,484
280,403
281,413
282,535
283,542
284,539
285,455
286,487
287,534
288,504
289,500
290,587
291,452
292,595
293,533
294,543
295,552
296,576
297,676
298,510
299,533
300,539
301,570
302,486
303,577
304,561
305,527
306,515
307,509
308,551
309,510
310,504
311,543
312,604
313,611
314,611
315,578
316,527
317,453
318,615
319,503
320,634
321,612
322,653
323,618
324,558
325,639
326,601
327,571
328,640
329,683
330,568
331,661
332,623
333,582
334,630
335,654
336,651
337,544
338,587
339,701
340,634
341,695
342,637
343,706
344,596
345,591
346,701
347,577
348,607
349,664
350,629
351,607
352,655
353,669
354,637
355,798
356,638
357,609
358,517
359,602
360,696
